;Zummi;Gruffi;Grammi;Tummi;Sunni;Cubbi;Sir Thornberry;Gusto;Chummi;Sir Gallant
42;Nie Widział;Nie Widział;Widział;Nie Widział;nie;Nie Widział;Widział;Widział;Widział;Nie Widział
43;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;tak;Widział;nan
44;Nie Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
45;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
46;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
47;Nie Widział;Nie Widział;Widział;Widzi al;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
48;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nan
49;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
50;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział
51;Widzi al;Nie Widział;Widzial;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
52;Widział;Nie Widział;Nie Widział;Widzial;nie;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
53;nie widzial;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział
54;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział
55;Nie Widział;Widział;nie;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nan;Widział
56;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
57;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
58;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
59;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
60;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
61;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
62;Widział;Widział;nan;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
63;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział
64;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;nie
65;Nie Widział;nie;Widział;Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
66;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
67;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
68;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
69;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
70;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
71;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;Nie Widział
72;Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;nie widzial;Widział;Widzial
73;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
74;Widział;Widział;Widział;nan;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
75;Widział;Widział;Widział;Widział;Nie Widział;nie widzial;Widział;Widział;Widział;Widział
76;nie widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
77;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
78;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
79;Widział;Nie Widział;nie widzial;Widział;Widział;Nie Widział;Widzial;Nie Widział;Widział;Widział
80;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
81;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
82;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
83;nan;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nie widzial
84;Widzi al;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nan;nie widzial;Widzial;Nie Widział
85;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Widzial
86;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział;Widzial;Nie Widział
87;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział
88;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
89;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział
90;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
91;Nie Widział;Widział;nan;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
92;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
93;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
94;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widzi al
95;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nan;Nie Widział;Widział
96;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
97;Widział;Widział;Widział;Widział;Nie Widział;Widzial;Nie Widział;Widział;nie;Nie Widział
98;Widział;Widział;Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział
99;Nie Widział;Nie Widział;Nie Widział;Widzial;nie widzial;Nie Widział;Widzial;Nie Widział;Widział;Nie Widział
100;Widział;Widział;Nie Widział;nie;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;tak
101;Widzi al;Nie Widział;Widział;Nie Widział;Widział;Widział;nie;Nie Widział;Widział;Nie Widział
102;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział
103;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
104;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
105;Widział;Nie Widział;Nie Widział;Widzial;nan;Widział;Widział;Nie Widział;Widział;Nie Widział
106;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widzial;nan
107;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Nie Widział
108;nan;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
109;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
110;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial
111;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
112;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
113;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
114;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
115;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
116;Widział;Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Widzial;Nie Widział
117;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
118;nan;Nie Widział;Widział;nie widzial;tak;Nie Widział;Widział;Widział;Widział;Widział
119;Nie Widział;Widział;Widzial;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;nie widzial
120;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
121;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;nie widzial;Nie Widział;Nie Widział;Widział;Widział
122;Widział;Widzial;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
123;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nan;Widział;Nie Widział;Widział
124;nie;Widział;tak;Widzial;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
125;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
126;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;Nie Widział;Nie Widział;Nie Widział
127;Widział;nie widzial;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
128;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
129;Nie Widział;Widział;nan;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział;Widział;Widział
130;Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział;Nie Widział;Nie Widział;nie widzial;Widział
131;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial
132;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widział;Widział;Widział
133;Nie Widział;nie widzial;Nie Widział;Widział;Widział;nan;Nie Widział;Nie Widział;tak;Widzial
134;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
135;Nie Widział;Widział;Widział;Widział;nan;Nie Widział;Widział;Widział;Nie Widział;Widział
136;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
137;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
138;Widział;nie;nie widzial;Widział;Widział;nan;Widział;Widział;Nie Widział;Nie Widział
139;Nie Widział;Widzi al;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;tak;Nie Widział
140;nie;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
141;Widział;nan;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
142;Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział
143;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nan;Widział
144;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Nie Widział;Nie Widział;nan;Nie Widział
145;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
146;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
147;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
148;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzi al
149;Nie Widział;nie;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
150;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
151;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Widział
152;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;nie widzial;Widział
153;Widział;Widział;Nie Widział;tak;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
154;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;nie;Nie Widział;Nie Widział
155;Nie Widział;nie;Nie Widział;Nie Widział;Widzi al;Widział;Widział;Widział;Nie Widział;Widział
156;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
157;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
158;Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;Widział;Nie Widział;Widzial;tak
159;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nan;Nie Widział;Nie Widział
160;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzi al;Widział
161;Nie Widział;Nie Widział;Widział;Widział;Widział;tak;Nie Widział;Nie Widział;Widział;Widział
162;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzi al;Nie Widział
163;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial
164;Widział;Widzial;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
165;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;tak
166;Widział;Widzial;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
167;Nie Widział;nie widzial;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział
168;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
169;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
170;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
171;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widzial;Widział
172;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
173;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzial;nie;Nie Widział
174;Widział;Widział;Widział;Widział;Nie Widział;nie widzial;Nie Widział;Widział;Widział;Widział
175;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;nan;Nie Widział;Nie Widział;Widział
176;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widzi al
177;Nie Widział;Widzial;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
178;Widział;Widział;Nie Widział;Nie Widział;nan;Nie Widział;Widział;Widział;Nie Widział;Widział
179;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
180;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;nie widzial
181;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział
182;Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
183;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widzial;nan
184;Widział;Widział;Nie Widział;Widział;nan;Nie Widział;Widział;Widział;Widział;Nie Widział
185;Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Widział;Widział;Widział;Widzi al
186;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
187;Widzi al;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;tak;Nie Widział;Nie Widział;Widział
188;Nie Widział;nie;Widział;Widział;Widzial;Widział;Widział;Nie Widział;Widział;Nie Widział
189;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
190;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
191;Widział;nie;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;nan;Nie Widział;Nie Widział
192;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział
193;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Widzial;Widział
194;Widzi al;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
195;Widział;Widział;nan;Nie Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział
196;Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
197;Widział;nie;nan;Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
198;Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzial
199;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;nie widzial;Nie Widział;Widział;Widział
200;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie;tak
201;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Widzial;Widział;tak;Nie Widział;Widział
202;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
203;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
204;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
205;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;nie;Nie Widział;Widział
206;Widział;Nie Widział;Widział;Widział;Widział;Widział;nie widzial;Widział;Widział;Widział
207;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Widział;Widział;Widział
208;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
209;Widział;nan;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
210;Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;Widział;Widzial;Nie Widział;Widział
211;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
212;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nie widzial
213;tak;Widział;Widział;tak;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
214;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
215;Nie Widział;Nie Widział;nie;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
216;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział
217;Widział;nie widzial;Nie Widział;Widzial;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział
218;nie widzial;Widział;Widział;Widział;tak;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
219;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;nie;Nie Widział;Nie Widział;Nie Widział
220;Widział;Nie Widział;Nie Widział;nie;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
221;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
222;Widział;Widzial;Nie Widział;Widzial;Widział;Widział;Widział;nan;Widział;Nie Widział
223;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;nan;Nie Widział
224;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
225;Widział;Widział;Widział;Nie Widział;Widział;tak;Nie Widział;Widział;Nie Widział;Nie Widział
226;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
227;Nie Widział;nie widzial;Nie Widział;Nie Widział;nan;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
228;Nie Widział;Widział;Nie Widział;tak;nan;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
229;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
230;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nan;Nie Widział;Nie Widział;Nie Widział
231;Nie Widział;Widział;Widział;Widzial;Widział;nie widzial;Widział;Widział;Nie Widział;Widział
232;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
233;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;nan
234;Widzial;nie widzial;Widział;tak;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
235;Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;tak;Nie Widział;Nie Widział;Widział
236;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział
237;Nie Widział;Widział;nie;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
238;nie;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widzial;Widział;Nie Widział
239;Nie Widział;Widział;Widział;Widział;nan;Nie Widział;Nie Widział;Widział;Widział;Widział
240;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;nan;Widział;Nie Widział;Nie Widział;Nie Widział
241;Nie Widział;Widział;Widział;Widział;Widział;nan;Widzial;Nie Widział;Widział;Widział
242;Widzial;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
